District,Location,House_Size,Bedrooms,Bathrooms,Area_sqft,Budget_BDT,Source
Dhaka,Adabor,Medium,3,3,1490,9100000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2184,12500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2184,11500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2184,14000000,Bangladesh_property_prices
Dhaka,Adabor,Medium,3,3,1196,7000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1114,4500000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,3,1010,4500000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,950,4500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,6,5,1750,7350000,Bangladesh_property_prices
Dhaka,Cantonment,Small,2,2,750,3375000,Bangladesh_property_prices
Dhaka,JatraBari,Medium,3,2,1086,4400000,Bangladesh_property_prices
Dhaka,Agargaon,Small,2,2,650,3000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2160,16500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,7200,76000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2160,15000000,Bangladesh_property_prices
Dhaka,Cantonment,Medium,3,3,1250,5500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1145,4600000,Bangladesh_property_prices
Dhaka,BaridharaDOHS,Medium,3,2,1177,14000000,Bangladesh_property_prices
Dhaka,Cantonment,Medium,3,3,1300,5000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1265,6825000,Bangladesh_property_prices
Dhaka,Ibrahimpur,Medium,3,3,1050,4000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,950,5500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,25500000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,860,3300000,Bangladesh_property_prices
Dhaka,Shyamoli,Medium,3,3,1100,7700000,Bangladesh_property_prices
Dhaka,Maghbazar,Medium,3,3,1420,9200000,Bangladesh_property_prices
Dhaka,AftabNagar,Medium,3,4,1650,9500000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,4,1710,12500000,Bangladesh_property_prices
Dhaka,Baridhara,Large,4,4,2850,65000000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1200,6400000,Bangladesh_property_prices
Dhaka,Tejgaon,Large,4,4,2300,23500000,Bangladesh_property_prices
Dhaka,MohakhaliDOHS,Large,4,4,2700,37500000,Bangladesh_property_prices
Dhaka,Mohakhali,Medium,3,3,1400,9500000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,4,1600,13500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1060,4200000,Bangladesh_property_prices
Dhaka,Shyamoli,Small,3,3,975,4500000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1450,8700000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,850,5100000,Bangladesh_property_prices
Dhaka,Banani,Large,3,3,2275,23000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,850,4200000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,4,1520,10000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,850,4500000,Bangladesh_property_prices
